method,batch_size,transaction_size,concurrent,concurrency,total_duration
updatecase,100,10,true,5,1091329403
updatecase,100,10,true,10,796979319
updatecase,100,10,true,15,814963676
updatecase,100,10,true,20,806953585
updatecase,100,10,true,30,725714711
updatecase,100,10,true,50,682624708
updatecase,100,10,true,100,738648090
updatecase,100,20,false,1,4859687000
updatecase,100,20,true,1,4691159179
updatecase,100,20,true,5,1121321485
updatecase,100,20,true,10,837067728
updatecase,100,20,true,15,829049093
updatecase,100,20,true,20,806172239
updatecase,100,20,true,30,739964345
updatecase,100,20,true,50,737303284
updatecase,100,20,true,100,724276952
updatecase,100,50,false,1,4733517851
updatecase,100,50,true,1,4694803409
updatecase,100,50,true,5,1142070273
updatecase,100,50,true,10,898541526
updatecase,100,50,true,15,850565828
updatecase,100,50,true,20,809444481
updatecase,100,50,true,30,755612039
updatecase,100,50,true,50,756686696
updatecase,100,50,true,100,692287518
updatecase,100,100,false,1,4794814443
updatecase,100,100,true,1,4768177352
updatecase,100,100,true,5,1051160461
updatecase,100,100,true,10,837492827
updatecase,100,100,true,15,816862919
updatecase,100,100,true,20,827213123
updatecase,100,100,true,30,781726632
updatecase,100,100,true,50,745678041
updatecase,100,100,true,100,701975283
updatecase,100,200,false,1,4781177558
updatecase,100,200,true,1,4766268170
updatecase,100,200,true,5,1057261944
updatecase,100,200,true,10,828551907
updatecase,100,200,true,15,801565321
updatecase,100,200,true,20,793220263
updatecase,100,200,true,30,763151305
updatecase,100,200,true,50,724414256
updatecase,100,200,true,100,682269187
updatecase,100,500,false,1,4705989208
updatecase,100,500,true,1,4667966676
updatecase,100,500,true,5,1006330909
updatecase,100,500,true,10,890034055
updatecase,100,500,true,15,821801825
updatecase,100,500,true,20,796931766
updatecase,100,500,true,30,819139789
updatecase,100,500,true,50,728703298
updatecase,100,500,true,100,696900833
updatecase,100,1000,false,1,4709321495
updatecase,100,1000,true,1,4753940575
updatecase,100,1000,true,5,1011503409
updatecase,100,1000,true,10,890594548
updatecase,100,1000,true,15,833814211
updatecase,100,1000,true,20,786731983
updatecase,100,1000,true,30,739575967
updatecase,100,1000,true,50,720995416
updatecase,100,1000,true,100,731384530
updatecase,200,1,false,1,4796790584
updatecase,200,1,true,1,4792284820
updatecase,200,1,true,5,1132219683
updatecase,200,1,true,10,781414072
updatecase,200,1,true,15,709608111
updatecase,200,1,true,20,746023328
updatecase,200,1,true,30,713890261
updatecase,200,1,true,50,604829027
updatecase,200,1,true,100,570272743
updatecase,200,10,false,1,4440220636
updatecase,200,10,true,1,4375470456
updatecase,200,10,true,5,1073655576
updatecase,200,10,true,10,731293125
updatecase,200,10,true,15,679253320
updatecase,200,10,true,20,671454843
updatecase,200,10,true,30,649359138
updatecase,200,10,true,50,628843046
updatecase,200,10,true,100,684069144
updatecase,200,20,false,1,4384864820
updatecase,200,20,true,1,4263481489
updatecase,200,20,true,5,1016887942
updatecase,200,20,true,10,733876695
updatecase,200,20,true,15,695218770
updatecase,200,20,true,20,667639125
updatecase,200,20,true,30,613630587
updatecase,200,20,true,50,601774829
updatecase,200,20,true,100,669052755
updatecase,200,50,false,1,4412442666
updatecase,200,50,true,1,4281332677
updatecase,200,50,true,5,1037152543
updatecase,200,50,true,10,713742667
updatecase,200,50,true,15,727354312
updatecase,200,50,true,20,648295294
updatecase,200,50,true,30,614383923
updatecase,200,50,true,50,594598124
updatecase,200,50,true,100,660384877
updatecase,200,100,false,1,4338919586
updatecase,200,100,true,1,4286796195
updatecase,200,100,true,5,993925509
updatecase,200,100,true,10,727297535
updatecase,200,100,true,15,702048696
updatecase,200,100,true,20,649734560
updatecase,200,100,true,30,604225690
updatecase,200,100,true,50,610020547
updatecase,200,100,true,100,637123141
updatecase,200,200,false,1,4295919320
updatecase,200,200,true,1,4222300412
updatecase,200,200,true,5,996149284
updatecase,200,200,true,10,730184267
updatecase,200,200,true,15,713239339
updatecase,200,200,true,20,680775771
updatecase,200,200,true,30,595847165
updatecase,200,200,true,50,624327075
updatecase,200,200,true,100,698486343
updatecase,200,500,false,1,4354686948
updatecase,200,500,true,1,4217813759
updatecase,200,500,true,5,1008311280
updatecase,200,500,true,10,740892753
updatecase,200,500,true,15,663977974
updatecase,200,500,true,20,630973647
updatecase,200,500,true,30,636412172
updatecase,200,500,true,50,609498100
updatecase,200,500,true,100,612987461
updatecase,200,1000,false,1,4362571865
updatecase,200,1000,true,1,4196213809
updatecase,200,1000,true,5,984031927
updatecase,200,1000,true,10,704813481
updatecase,200,1000,true,15,689124573
updatecase,200,1000,true,20,686500677
updatecase,200,1000,true,30,632858827
updatecase,200,1000,true,50,583057130
updatecase,200,1000,true,100,643256321
updatecase,500,1,false,1,5212289071
updatecase,500,1,true,1,5020296065
updatecase,500,1,true,5,1128428432
updatecase,500,1,true,10,776921001
updatecase,500,1,true,15,675260553
updatecase,500,1,true,20,600403189
updatecase,500,1,true,30,610673222
updatecase,500,1,true,50,626444572
updatecase,500,1,true,100,608729963
updatecase,500,10,false,1,4853313418
updatecase,500,10,true,1,4854807179
updatecase,500,10,true,5,1075779759
updatecase,500,10,true,10,669275596
updatecase,500,10,true,15,648487299
updatecase,500,10,true,20,556925179
updatecase,500,10,true,30,541715971
updatecase,500,10,true,50,582320850
updatecase,500,10,true,100,681320556
updatecase,500,20,false,1,4838120983
updatecase,500,20,true,1,4793655371
updatecase,500,20,true,5,1070917990
updatecase,500,20,true,10,686206915
updatecase,500,20,true,15,571228419
updatecase,500,20,true,20,613954576
updatecase,500,20,true,30,553857678
updatecase,500,20,true,50,567245643
updatecase,500,20,true,100,654294510
updatecase,500,50,false,1,4808555447
updatecase,500,50,true,1,4794763187
updatecase,500,50,true,5,1044475853
updatecase,500,50,true,10,728448649
updatecase,500,50,true,15,668874780
updatecase,500,50,true,20,551683712
updatecase,500,50,true,30,554492294
updatecase,500,50,true,50,582921950
updatecase,500,50,true,100,646413434
updatecase,500,100,false,1,4757536871
updatecase,500,100,true,1,4679997684
updatecase,500,100,true,5,1067253689
updatecase,500,100,true,10,659925954
updatecase,500,100,true,15,589711561
updatecase,500,100,true,20,592513603
updatecase,500,100,true,30,547338641
updatecase,500,100,true,50,596968859
updatecase,500,100,true,100,668806854
updatecase,500,200,false,1,4767484942
updatecase,500,200,true,1,5112404047
updatecase,500,200,true,5,1072832331
updatecase,500,200,true,10,657005105
updatecase,500,200,true,15,620874257
updatecase,500,200,true,20,631179892
updatecase,500,200,true,30,595721503
updatecase,500,200,true,50,614536752
updatecase,500,200,true,100,682239558
updatecase,500,500,false,1,4757644243
updatecase,500,500,true,1,4878513870
updatecase,500,500,true,5,1029971153
updatecase,500,500,true,10,695561302
updatecase,500,500,true,15,621048157
updatecase,500,500,true,20,579534821
updatecase,500,500,true,30,586423086
updatecase,500,500,true,50,580037482
updatecase,500,500,true,100,721308145
updatecase,500,1000,false,1,4807717752
updatecase,500,1000,true,1,4845643651
updatecase,500,1000,true,5,1085343011
updatecase,500,1000,true,10,719673076
updatecase,500,1000,true,15,598843307
updatecase,500,1000,true,20,586334656
updatecase,500,1000,true,30,592168274
updatecase,500,1000,true,50,594568676
updatecase,500,1000,true,100,674946611
updatecase,750,1,false,1,5674513121
updatecase,750,1,true,1,5632837020
updatecase,750,1,true,5,1286060755
updatecase,750,1,true,10,770869915
updatecase,750,1,true,15,729081958
updatecase,750,1,true,20,617514328
updatecase,750,1,true,30,651740715
updatecase,750,1,true,50,650541522
updatecase,750,1,true,100,705383232
updatecase,750,10,false,1,5443018366
updatecase,750,10,true,1,5504407465
updatecase,750,10,true,5,1269319048
updatecase,750,10,true,10,704679287
updatecase,750,10,true,15,604523082
updatecase,750,10,true,20,574863654
updatecase,750,10,true,30,599677442
updatecase,750,10,true,50,609911106
updatecase,750,10,true,100,645604060
updatecase,750,20,false,1,5493698034
updatecase,750,20,true,1,5375340432
updatecase,750,20,true,5,1217192669
updatecase,750,20,true,10,730736798
updatecase,750,20,true,15,639775010
updatecase,750,20,true,20,612655788
updatecase,750,20,true,30,599339886
updatecase,750,20,true,50,591677860
updatecase,750,20,true,100,704982992
updatecase,750,50,false,1,5488879368
updatecase,750,50,true,1,5361154226
updatecase,750,50,true,5,1192525760
updatecase,750,50,true,10,745756532
updatecase,750,50,true,15,649340385
updatecase,750,50,true,20,581642513
updatecase,750,50,true,30,577901466
updatecase,750,50,true,50,844307991
updatecase,750,50,true,100,711640534
updatecase,750,100,false,1,5442082909
updatecase,750,100,true,1,5380701754
updatecase,750,100,true,5,1219236466
updatecase,750,100,true,10,723829141
updatecase,750,100,true,15,583062523
updatecase,750,100,true,20,579206930
updatecase,750,100,true,30,653571416
updatecase,750,100,true,50,609600011
updatecase,750,100,true,100,734057073
updatecase,750,200,false,1,5377801728
updatecase,750,200,true,1,5381500958
updatecase,750,200,true,5,1191708560
updatecase,750,200,true,10,692287994
updatecase,750,200,true,15,589561518
updatecase,750,200,true,20,579288176
updatecase,750,200,true,30,613273546
updatecase,750,200,true,50,668723439
updatecase,750,200,true,100,752489912
updatecase,750,500,false,1,5395555897
updatecase,750,500,true,1,5353913946
updatecase,750,500,true,5,1198593016
updatecase,750,500,true,10,732708529
updatecase,750,500,true,15,580611690
updatecase,750,500,true,20,584463141
updatecase,750,500,true,30,578065454
updatecase,750,500,true,50,591643800
updatecase,750,500,true,100,671768447
updatecase,750,1000,false,1,5451600370
updatecase,750,1000,true,1,5432998737
updatecase,750,1000,true,5,1204006442
updatecase,750,1000,true,10,738554684
updatecase,750,1000,true,15,593929881
updatecase,750,1000,true,20,585320265
updatecase,750,1000,true,30,590285749
updatecase,750,1000,true,50,630522782
updatecase,750,1000,true,100,736776468
updatecase,1000,1,false,1,6351105485
updatecase,1000,1,true,1,6405425196
updatecase,1000,1,true,5,1409878906
updatecase,1000,1,true,10,842124435
updatecase,1000,1,true,15,694886326
updatecase,1000,1,true,20,653490921
updatecase,1000,1,true,30,681977896
updatecase,1000,1,true,50,693645665
updatecase,1000,1,true,100,748613142
updatecase,1000,10,false,1,6155856145
updatecase,1000,10,true,1,6121725582
updatecase,1000,10,true,5,1403410753
updatecase,1000,10,true,10,786690689
updatecase,1000,10,true,15,671832011
updatecase,1000,10,true,20,630582380
updatecase,1000,10,true,30,629345524
updatecase,1000,10,true,50,722500491
updatecase,1000,10,true,100,706798256
updatecase,1000,20,false,1,6155414047
updatecase,1000,20,true,1,6030509270
updatecase,1000,20,true,5,1425128295
updatecase,1000,20,true,10,843381984
