method,batch_size,transaction_size,concurrent,concurrency,total_duration
onduplicate,500,1,false,1,6282528124
updatecase,500,1,false,1,5347858964
deleteinsert,500,1,false,1,8339726955
collectjoin,500,1,false,1,3071877051
onduplicate,500,100,false,1,6010719432
updatecase,500,100,false,1,4976891185
deleteinsert,500,100,false,1,8272004493
onduplicate,500,200,false,1,6030406189
updatecase,500,200,false,1,5011878822
deleteinsert,500,200,false,1,8137953385
onduplicate,500,500,false,1,6089222320
updatecase,500,500,false,1,5007620804
deleteinsert,500,500,false,1,8331500276
onduplicate,500,1000,false,1,6311514507
updatecase,500,1000,false,1,5064417307
deleteinsert,500,1000,false,1,8457095086
onduplicate,500,2000,false,1,6130047330
updatecase,500,2000,false,1,5091737086
deleteinsert,500,2000,false,1,8116473658
onduplicate,500,5000,false,1,6025600143
updatecase,500,5000,false,1,5097711512
deleteinsert,500,5000,false,1,8195819810
onduplicate,500,10000,false,1,6020109258
updatecase,500,10000,false,1,4945878997
deleteinsert,500,10000,false,1,8086943210
onduplicate,500,20000,false,1,6039196239
updatecase,500,20000,false,1,4962139650
deleteinsert,500,20000,false,1,8041901412
onduplicate,500,50000,false,1,6048979893
updatecase,500,50000,false,1,5100835123
deleteinsert,500,50000,false,1,8063865035
onduplicate,500,100000,false,1,6145464763
updatecase,500,100000,false,1,5157899662
deleteinsert,500,100000,false,1,8077010886
onduplicate,200,1,false,1,7036989297
updatecase,200,1,false,1,5039691289
deleteinsert,200,1,false,1,9539243034
collectjoin,200,1,false,1,3437091549
onduplicate,200,100,false,1,6526496966
updatecase,200,100,false,1,4531461798
deleteinsert,200,100,false,1,9010942592
onduplicate,200,200,false,1,6546920948
updatecase,200,200,false,1,4607909858
deleteinsert,200,200,false,1,9075810128
onduplicate,200,500,false,1,6586492866
updatecase,200,500,false,1,4492980111
deleteinsert,200,500,false,1,8867527670
onduplicate,200,1000,false,1,6609609769
updatecase,200,1000,false,1,4568209543
deleteinsert,200,1000,false,1,8859733250
onduplicate,200,2000,false,1,6670396898
updatecase,200,2000,false,1,4582166032
deleteinsert,200,2000,false,1,8873369040
onduplicate,200,5000,false,1,6678586501
updatecase,200,5000,false,1,4567716041
deleteinsert,200,5000,false,1,8952410816
onduplicate,200,10000,false,1,6624567470
updatecase,200,10000,false,1,4550329452
deleteinsert,200,10000,false,1,9001650547
onduplicate,200,20000,false,1,6626023952
updatecase,200,20000,false,1,4547731491
deleteinsert,200,20000,false,1,9001225228
onduplicate,200,50000,false,1,6651030674
updatecase,200,50000,false,1,4545003979
deleteinsert,200,50000,false,1,9002087127
onduplicate,200,100000,false,1,6627010173
updatecase,200,100000,false,1,4566544436
deleteinsert,200,100000,false,1,8773754550
onduplicate,100,1,false,1,8092225308
updatecase,100,1,false,1,5677669901
deleteinsert,100,1,false,1,10826955618
collectjoin,100,1,false,1,4063750660
onduplicate,100,100,false,1,7508202507
updatecase,100,100,false,1,4938528954
deleteinsert,100,100,false,1,10207752817
onduplicate,100,200,false,1,7305111513
updatecase,100,200,false,1,4800135397
deleteinsert,100,200,false,1,9952354456
onduplicate,100,500,false,1,7427699279
updatecase,100,500,false,1,4865794623
deleteinsert,100,500,false,1,10053236917
onduplicate,100,1000,false,1,7292208274
updatecase,100,1000,false,1,4765696219
deleteinsert,100,1000,false,1,9873019434
onduplicate,100,2000,false,1,7309772885
updatecase,100,2000,false,1,4869581738
deleteinsert,100,2000,false,1,9830047432
onduplicate,100,5000,false,1,7388170670
updatecase,100,5000,false,1,4839772907
deleteinsert,100,5000,false,1,9811616950
onduplicate,100,10000,false,1,7204863980
updatecase,100,10000,false,1,4871448500
deleteinsert,100,10000,false,1,9610757335
onduplicate,100,20000,false,1,7382247999
updatecase,100,20000,false,1,4830685558
deleteinsert,100,20000,false,1,9798986162
onduplicate,100,50000,false,1,7353041341
updatecase,100,50000,false,1,4869237927
deleteinsert,100,50000,false,1,9733520179
onduplicate,100,100000,false,1,7341323046
updatecase,100,100000,false,1,4873217284
deleteinsert,100,100000,false,1,9783224259
onduplicate,1,1,false,1,120689249619
updatecase,1,1,false,1,121121852533
deleteinsert,1,1,false,1,152925908067
collectjoin,1,1,false,1,74514662520
onduplicate,1,100,false,1,68113658979
updatecase,1,100,false,1,67621055548
deleteinsert,1,100,false,1,96782959170
onduplicate,1,200,false,1,68980659957
updatecase,1,200,false,1,66778657164
deleteinsert,1,200,false,1,96420911177
onduplicate,1,500,false,1,67783624937
updatecase,1,500,false,1,66840198370
deleteinsert,1,500,false,1,95831092218
onduplicate,1,1000,false,1,68357837449
updatecase,1,1000,false,1,67262151969
deleteinsert,1,1000,false,1,94553816799
onduplicate,1,2000,false,1,68037491098
updatecase,1,2000,false,1,67393393649
deleteinsert,1,2000,false,1,94865457688
onduplicate,1,5000,false,1,68015273116
updatecase,1,5000,false,1,65902025365
deleteinsert,1,5000,false,1,95332111777
onduplicate,1,10000,false,1,67601915868
updatecase,1,10000,false,1,67203099919
deleteinsert,1,10000,false,1,95016285465
onduplicate,1,20000,false,1,67752943035
updatecase,1,20000,false,1,67141946494
deleteinsert,1,20000,false,1,94851973927
onduplicate,1,50000,false,1,68048882918
updatecase,1,50000,false,1,67514478199
deleteinsert,1,50000,false,1,95238912663
onduplicate,1,100000,false,1,68170151803
updatecase,1,100000,false,1,67218905413
deleteinsert,1,100000,false,1,94913091757
