method,batch_size,transaction_size,concurrent,concurrency,total_duration
deleteinsert,100,10,true,10,2225072929
onduplicate,100,10,true,20,967441448
updatecase,100,10,true,20,557352650
deleteinsert,100,10,true,20,2312064475
onduplicate,100,10,true,50,1128502902
updatecase,100,10,true,50,567379061
deleteinsert,100,10,true,50,2154316463
onduplicate,100,10,true,100,1411258849
updatecase,100,10,true,100,627924481
deleteinsert,100,10,true,100,2214924249
onduplicate,100,100,false,1,7313368523
updatecase,100,100,false,1,4898019675
deleteinsert,100,100,false,1,10115703276
onduplicate,100,100,true,1,7297783866
updatecase,100,100,true,1,4803160042
deleteinsert,100,100,true,1,10069144976
onduplicate,100,100,true,2,3827346161
updatecase,100,100,true,2,2471362233
deleteinsert,100,100,true,2,5270327819
onduplicate,100,100,true,5,1628761050
updatecase,100,100,true,5,1010041563
deleteinsert,100,100,true,5,2843508497
onduplicate,100,100,true,10,1157660631
updatecase,100,100,true,10,652690306
deleteinsert,100,100,true,10,2262538971
onduplicate,100,100,true,20,998713047
updatecase,100,100,true,20,648449361
deleteinsert,100,100,true,20,2133727943
onduplicate,100,100,true,50,1245301184
updatecase,100,100,true,50,580678748
deleteinsert,100,100,true,50,2238420106
onduplicate,100,100,true,100,1417544288
updatecase,100,100,true,100,667197054
deleteinsert,100,100,true,100,2276790438
onduplicate,200,1,false,1,7188638246
updatecase,200,1,false,1,5097178947
deleteinsert,200,1,false,1,9636016149
collectjoin,200,1,false,1,3496631654
onduplicate,200,1,true,1,7155896524
updatecase,200,1,true,1,5042617215
deleteinsert,200,1,true,1,9424347234
collectjoin,200,1,true,1,3487257988
onduplicate,200,1,true,2,3763098722
updatecase,200,1,true,2,2608404980
deleteinsert,200,1,true,2,5181756173
collectjoin,200,1,true,2,2475339447
onduplicate,200,1,true,5,1590222180
updatecase,200,1,true,5,1132292618
deleteinsert,200,1,true,5,3032639381
collectjoin,200,1,true,5,1884381452
onduplicate,200,1,true,10,1030517814
updatecase,200,1,true,10,678193229
deleteinsert,200,1,true,10,2253083996
collectjoin,200,1,true,10,1744548751
onduplicate,200,1,true,20,865269081
updatecase,200,1,true,20,623290649
deleteinsert,200,1,true,20,1978459765
collectjoin,200,1,true,20,1719859004
onduplicate,200,1,true,50,947679074
updatecase,200,1,true,50,532599408
deleteinsert,200,1,true,50,2189401010
collectjoin,200,1,true,50,1723902510
onduplicate,200,1,true,100,1125098672
updatecase,200,1,true,100,484103678
deleteinsert,200,1,true,100,2224705763
collectjoin,200,1,true,100,1741428983
onduplicate,200,10,false,1,6678305928
updatecase,200,10,false,1,4623329725
deleteinsert,200,10,false,1,8934010235
onduplicate,200,10,true,1,6619923680
updatecase,200,10,true,1,4475119740
deleteinsert,200,10,true,1,9044306335
onduplicate,200,10,true,2,3492266913
updatecase,200,10,true,2,2434080113
deleteinsert,200,10,true,2,5041239986
onduplicate,200,10,true,5,1503355576
updatecase,200,10,true,5,988421682
deleteinsert,200,10,true,5,2656375755
onduplicate,200,10,true,10,1075215209
updatecase,200,10,true,10,645076446
deleteinsert,200,10,true,10,2235867212
onduplicate,200,10,true,20,1061476665
